component,base_quantity,unit,DS1_n,DS1_1_w,DS1_1_distribution,DS1_1_theta0,DS1_1_theta1,DS1_2_w,DS1_2_distribution,DS1_2_theta0,DS1_2_theta1,DS2_n,DS2_1_w,DS2_1_distribution,DS2_1_theta0,DS2_1_theta1,DS3_n,DS3_1_w,DS3_1_distribution,DS3_1_theta0,DS3_1_theta1,description,note
C3027.001,100,ft2,1,1,lognormal,"138,92|5,20",1.28411,,,,,,,,,,,,,,,"Raised Access Floor, non seismically rated.",
C3032.001b,600,ft2,1,1,normal,"1044,696|1,10",0.5508,,,,,1,1,lognormal,"8172,5448|1,10",0.51832,1,1,lognormal,"16812,11208|1,10",0.20262,"Suspended Ceiling, SDC A,B,C, Area (A): A < 250, Vert support only",
C3032.001d,2500,ft2,1,1,normal,"4350,2900|1,10",0.5508,,,,,1,1,lognormal,"34050,22700|1,10",0.51832,1,1,lognormal,"70050,46700|1,10",0.20262,,
C3034.001,1,ea,1,1,lognormal,"400,280|5,10",0.63,,,,,,,,,,,,,,,Independent Pendant Lighting - non seismic,repair cost was unrealistically low. It was modified.
D1014.011.1,1,ea,2,0.74,zero,"0,0|5,10",,0.26,lognormal,"8800,2640|5,10",0.8741,,,,,,,,,,,Traction Elevator (simultaneous consequence A),Not clear how pelicun manages simultaneous consequences
D1014.011.2,1,ea,2,0.21,zero,"0,0|5,10",,0.79,normal,"37400,11220|5,10",0.2776,,,,,,,,,,,Traction Elevator (simultaneous consequence B),
D1014.011.3,1,ea,2,0.32,zero,"0,0|5,10",,0.68,normal,"32000,9600|5,10",0.4083,,,,,,,,,,,Traction Elevator (simultaneous consequence C),
D1014.011.4,1,ea,2,0.83,zero,"0,0|5,10",,0.17,normal,"5000,1500|5,10",0.4877,,,,,,,,,,,Traction Elevator (simultaneous consequence D),
D2021.011a,1000,ft,1,1,lognormal,"319,261|1,4",0.76369,,,,,1,1,lognormal,"2915,2385|1,4",0.40537,,,,,,"Cold or Hot Potable  - Small Diameter Threaded Steel - (2.5 inches in diameter or less), SDC A or B, PIPING FRAGILITY",can I connect this with flooding?
D2031.013b,1000,ft,1,1,lognormal,"800,240|5,10",0.57578,,,,,,,,,,,,,,,Sanitary waste piping,I specified quantity
D3031.012c,1,ea,2,0.8,lognormal,"1100,900|1,5",0.4523,0.2,lognormal,"51920,42480|5,10",0.1843,,,,,,,,,,,Chiller - Capacity: < 100 Ton - Unanchored equipment that is not vibration isolated - Equipment fragility only,
D3031.021a,1,ea,1,1,lognormal,"26070,21330|1,5",0.17196,,,,,,,,,,,,,,,Cooling Tower - Capacity: < 100 Ton - Unanchored equipment that is not vibration isolated - Equipment fragility only,
D3041.011a,1000,ft,1,1,lognormal,"715,585|1,5",0.36736,,,,,1,1,lognormal,"6985,5715|1,5",0.1002,,,,,,"HVAC Galvanized Sheet Metal Ducting less than 6 sq. ft in cross sectional area, SDC A or B",
D3041.012a,1000,ft,1,1,lognormal,"1045,855|1,5",0.25596,,,,,1,1,lognormal,"8745,7155|1,5",0.08055,,,,,,"HVAC Galvanized Sheet Metal Ducting -  6 sq. ft cross sectional area or greater, SDC A or B",
D3041.031a,10,ea,1,1,normal,"3300,2700|1,5",0.20655,,,,,,,,,,,,,,,"HVAC Drops / Diffusers in suspended ceilings - No independent safety wires, SDC A or B",
D3041.041a,10,ea,1,1,lognormal,"16500,13500|1,5",0.29415,,,,,,,,,,,,,,,"Variable Air Volume (VAV) box with in-line coil, SDC A or B",
D3041.101a,1,ea,1,1,lognormal,"2915,2385|1,5",0.13943,,,,,,,,,,,,,,,HVAC Fan - Capacity: all - Unanchored equipment that is not vibration isolated - Equipment fragility only,"I specified the quantity here, because norm. quants didn’t provide a value"
D3052.013c,1,ea,2,0.8,lognormal,"1100,900|1,5",0.4523,0.2,lognormal,"33220,27180|1,5",0.1751,,,,,,,,,,,Air Handling Unit - Capacity: <5000 CFM - Equipment that is either hard anchored or is vibration isolated with seismic snubbers/restraints - Combined anchorage/isolator & equipment fragility,
D4011.021a,1000,ft,1,1,lognormal,"385,315|3,10",0.64877,,,,,1,1,lognormal,"2915,2385|3,10",0.40537,,,,,,"Fire Sprinkler Water Piping - Horizontal Mains and Branches - Old Style Victaulic - Thin Wall Steel - No bracing, SDC A or B, PIPING FRAGILITY",
D4011.031a,100,ea,1,1,lognormal,"550,450|2,5",0.36654,,,,,1,1,lognormal,"550,450|2,5",0.36654,,,,,,"Fire Sprinkler Drop Standard Threaded Steel - Dropping into unbraced lay-in tile SOFT ceiling - 6 ft. long drop maximum, SDC A or B",
D5011.011a,1,ea,1,1,lognormal,"8332.5,6817.5|1,5",0.1875,,,,,,,,,,,,,,,Transformer/primary service - Capacity: <100 kVA - Unanchored equipment that is not vibration isolated - Equipment fragility only,
D5012.013a,1,ea,1,1,normal,"4565,3735|1,5",0.18259,,,,,,,,,,,,,,,Motor Control Center - Capacity: all - Unanchored equipment that is not vibration isolated - Equipment fragility only,
D5012.021a,1,ea,1,1,lognormal,"10202.5,8347.5|1,5",0.1572,,,,,,,,,,,,,,,Low Voltage Switchgear - Capacity: 100 to <350 Amp - Unanchored equipment that is not vibration isolated - Equipment fragility only,
D5012.031a,1,ea,1,1,lognormal,"12057.5,8347.5|1,5",0.1572,,,,,,,,,,,,,,,Distribution Panel - Capacity: 100 to <350 Amp - Unanchored equipment that is not vibration isolated - Equipment fragility only,
E2022.001,1,ea,1,1,lognormal,"2800,2200|1,5",0.4,,,,,,,,,,,,,,,Modular office work stations.,I specified quantity and repair consequences
E2022.023,1,ea,1,1,lognormal,"2000,1750|1,5",0.4,,,,,,,,,,,,,,,Desktop Computers,
E2022.102a,1,ea,1,1,lognormal,"800,500|1,5",0.5,,,,,,,,,,,,,,,"Bookcase, 2 shelves, unanchored laterally",I specified quantity and repair consequences
E2022.112a,1,ea,1,1,lognormal,"500,300|1,5",0.5,,,,,,,,,,,,,,,"Vertical Filing Cabinet, 2 drawer, unanchored laterally",I specified quantity and repair consequences
replacement,1,ea,1,1,lognormal,10448000,0.09975,,,,,,,,,,,,,,,,
