component,base_quantity,unit,DS1_n,DS1_1_w,DS1_1_distribution,DS1_1_theta0,DS1_1_theta1,DS1_2_w,DS1_2_distribution,DS1_2_theta0,DS1_2_theta1,DS2_n,DS2_1_w,DS2_1_distribution,DS2_1_theta0,DS2_1_theta1,DS3_n,DS3_1_w,DS3_1_distribution,DS3_1_theta0,DS3_1_theta1,description,note
D3052.011a,1,ea,2,0.67,lognormal,"1100,900|1,5",0.151076,0.33,lognormal,"32120,26280|1,5",0.165485,,,,,,,,,,,Air Handling Unit - Capacity: <5000 CFM - Unanchored equipment that is not vibration isolated - Equipment fragility only,
D4011.021a,1000,ft,1,1,lognormal,"385,315|3,10",0.648767,,,,,1,1,lognormal,"2915,2385|3,10",0.405366,,,,,,"Fire Sprinkler Water Piping - Horizontal Mains and Branches - Old Style Victaulic - Thin Wall Steel - No bracing, SDC A or B, PIPING FRAGILITY",
D4011.031a,100,ea,1,1,lognormal,"550,450|2,5",0.36654,,,,,1,1,lognormal,"550,450|2,5",0.36654,,,,,,"Fire Sprinkler Drop Standard Threaded Steel - Dropping into unbraced lay-in tile SOFT ceiling - 6 ft. long drop maximum, SDC A or B",
D5011.011a,1,ea,1,1,lognormal,"8332.5,6817.5|1,5",0.187503,,,,,,,,,,,,,,,Transformer/primary service - Capacity: <100 kVA - Unanchored equipment that is not vibration isolated - Equipment fragility only,
D5012.013a,1,ea,1,1,normal,"4565,3735|1,5",0.182591,,,,,,,,,,,,,,,Motor Control Center - Capacity: all - Unanchored equipment that is not vibration isolated - Equipment fragility only,
D5012.021a,1,ea,1,1,lognormal,"10202.5,8347.5|1,5",0.157199,,,,,,,,,,,,,,,Low Voltage Switchgear - Capacity: 100 to <350 Amp - Unanchored equipment that is not vibration isolated - Equipment fragility only,
D5012.031a,1,ea,1,1,lognormal,"12057.5,8347.5|1,5",0.157199,,,,,,,,,,,,,,,Distribution Panel - Capacity: 100 to <350 Amp - Unanchored equipment that is not vibration isolated - Equipment fragility only,
E2022.001,1,ea,1,1,lognormal,"2800,2200|1,5",0.4,,,,,,,,,,,,,,,Modular office work stations.,I specified quantity and repair consequences
E2022.023,1,ea,1,1,lognormal,"2000,1750|1,5",0.4,,,,,,,,,,,,,,,Desktop Computers,
E2022.102a,1,ea,1,1,lognormal,"800,500|1,5",0.5,,,,,,,,,,,,,,,"Bookcase, 2 shelves, unanchored laterally",I specified quantity and repair consequences
E2022.112a,1,ea,1,1,lognormal,"500,300|1,5",0.5,,,,,,,,,,,,,,,"Vertical Filing Cabinet, 2 drawer, unanchored laterally",I specified quantity and repair consequences
replacement,1,ea,1,1,lognormal,10448000,0.099751,,,,,,,,,,,,,,,,
